,created_at,hashtags,lang,location,locationBis,positivity,text
7729,2018-06-17 19:21:15,[],en,with God,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7730,2018-06-17 19:21:15,[],en,Yo Mama's House ,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7731,2018-06-17 19:21:16,[],en,"Atlanta, GA",USA,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7732,2018-06-17 19:21:16,[],en,,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7733,2018-06-17 19:21:16,[],en,Nigeria,NGA,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7734,2018-06-17 19:21:16,[],en,Right Above you,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7735,2018-06-17 19:21:17,[],en,"Ibadan, Nigeria",NGA,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7736,2018-06-17 19:21:17,[],en,,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7737,2018-06-17 19:21:17,"['BRA', 'BRA', 'SUI', 'Brasil', 'Coutinho']",pt,Singapore 🇸🇬 NY 🇺🇸 EU 🇪🇺,SGP,0,"RT @Pharol_OI: SAMBA | COUTINHO

Golazo por toda la escuadra de Coutinho para adelantar a #BRA.

#BRA 🇧🇷 1 - 0 🇨🇭 #SUI

#Brasil #Coutinho #…"
7738,2018-06-17 19:21:17,[],en,"Lagos, Nigeria",PRT,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7739,2018-06-17 19:21:17,[],en,Nigeria,NGA,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7740,2018-06-17 19:21:17,"['BRASWI', 'NotLettingItGo', 'NIRSUI', 'November17']",en,"here, there, everywhere",,-1,"Dodgy ref in the Swiss game?! sounds familiar. 😳 

#BRASWI 

#NotLettingItGo!

#NIRSUI #November17"
7741,2018-06-17 19:21:18,[],en,"Charlotte, NC",USA,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7742,2018-06-17 19:21:23,"['Neymar', 'BRAzwi', 'braswi', 'BRASUI']",en,Tehran,,0,RT @douwemees: #Neymar’s hair is lit🔥 #BRAzwi #braswi #BRASUI https://t.co/Ymm9d9NoUG
7743,2018-06-17 19:21:24,[],en,"Luyksgestel, the Netherlands",NLD,0,"RT @OptaJean: 10 - The last 12 shots on target faced by Brazil 🇧🇷 in the World Cup:

⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️

Goalkeeper ? #BRA…"
7744,2018-06-17 19:21:24,[],en,"Grantham, England",GBR,0,Because he’s an untouchable Brazilian? https://t.co/m1dS6jdRZi
7745,2018-06-17 19:21:24,"['BRASWI', 'BRASUI', 'WorldCup']",en,,,1,"RT @adeoyemusic: Brazil vs Switzerland 

Direct Live Stream Below

#BRASWI 
#BRASUI 
#WorldCup 

https://t.co/VkAXKTWxru"
7746,2018-06-17 19:21:25,['BRASWI'],fr,Lille,FRA,0,M’font chier ces suisses #BRASWI
7747,2018-06-17 19:21:25,[],en, Abuja,NGA,0,"RT @OptaJean: 10 - The last 12 shots on target faced by Brazil 🇧🇷 in the World Cup:

⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️

Goalkeeper ? #BRA…"
7748,2018-06-17 19:21:26,"['Russia2018', 'BRASWI']",en,"Greater Accra, Ghana",GHA,-1,"Too know too know saa he can’t hold ball for 5 seconds..

Poor Neymar 

#Russia2018 #BRASWI"
7749,2018-06-17 19:21:26,[],en,Sheffield,GBR,-1,7 in the same game too. https://t.co/UBeebbekcN
7750,2018-06-17 19:21:27,"['BRASUI', 'BRASWI']",fr,"Suresnes, Ile-de-France",FRA,0,"Shaqiri, femme à moitié dans ton lit 
#BRASUI #BRASWI"
7751,2018-06-17 19:21:29,"['swissinLa', 'SUI', 'HoppSchwiiz', 'BRASWI']",en,silkroad.us.eu,,1,RT @SwissCGLA: #swissinLa going wild after the first #SUI goal! @FIFAWorldCup #HoppSchwiiz #BRASWI https://t.co/EIOmqQDkII
7752,2018-06-17 19:21:29,['BRASWI'],fr,,,0,MDRRR wlh c un sorcier 😵 1-1 #BRASWI https://t.co/I0TXEs0lFS
7753,2018-06-17 19:21:30,['bresui'],fr,,,1,"RT @Mediatordue: Je zappe vite fait sur #bresui, y a Neymar qui tape dans le ballon et juste après il se met à boiter, y a un moment faut s…"
7754,2018-06-17 19:21:30,[],en,+233,,0,"RT @OptaJean: 10 - The last 12 shots on target faced by Brazil 🇧🇷 in the World Cup:

⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️

Goalkeeper ? #BRA…"
7755,2018-06-17 19:21:31,[],en,"Lagos, Nigeria",PRT,0,"RT @OptaJean: 10 - The last 12 shots on target faced by Brazil 🇧🇷 in the World Cup:

⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️

Goalkeeper ? #BRA…"
7756,2018-06-17 19:21:32,[],en,"Los Angeles, CA",USA,0,"RT @OptaJean: 10 - The last 12 shots on target faced by Brazil 🇧🇷 in the World Cup:

⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️

Goalkeeper ? #BRA…"
7757,2018-06-17 19:21:32,['WorldCup'],en,"Rugeley, England",GBR,1,"Bar a fifteen minute spell, are Brazil that impressive? They can’t defend corners that’s for sure!! #WorldCup… https://t.co/DmLFKGWIVJ"
7758,2018-06-17 19:21:35,"['Worldcup2018Russia', 'Switzerland', 'BRASWI']",en,"Manila City, National Capital Region",,1,those beautiful swiss players #Worldcup2018Russia #Switzerland #BRASWI
7759,2018-06-17 19:21:35,[],en,China,CHN,0,"RT @OptaJean: 10 - The last 12 shots on target faced by Brazil 🇧🇷 in the World Cup:

⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️

Goalkeeper ? #BRA…"
7760,2018-06-17 19:21:36,[],en,Yung Nation ,,0,"RT @OptaJean: 10 - The last 12 shots on target faced by Brazil 🇧🇷 in the World Cup:

⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️

Goalkeeper ? #BRA…"
7761,2018-06-17 19:21:39,"['BRASWI', 'BRASUI']",fr,Tournai. Belgique,BEL,0,Cette équipe helvétique a de la Suisse dans les idées #BRASWI #BRASUI
7762,2018-06-17 19:21:40,"['Switzerland', 'BRASWI', 'FIFAWorldCup']",en,,,0,"@SPEXX1 Yes, #Switzerland are showing how it's done! ;-) #BRASWI #FIFAWorldCup"
7763,2018-06-17 19:21:41,[],en,,,0,"RT @OptaJean: 10 - The last 12 shots on target faced by Brazil 🇧🇷 in the World Cup:

⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️

Goalkeeper ? #BRA…"
7764,2018-06-17 19:21:42,[],en,swe,,-1,7 of those were in the same game by the same keeper stupid stat https://t.co/VkMn94nqC5
7765,2018-06-17 19:21:47,['BRASWI'],en,Benin city,BEN,0,This World Cup just got litti 🔥🔥🔥#BRASWI
7766,2018-06-17 19:21:48,"['neymar', 'worldcup', 'brazil', 'BRASWI']",en,,,1,"Would love Roy Keane to face Neymar 🙄⚽️😂👀 

#neymar #worldcup #brazil #BRASWI"
7767,2018-06-17 19:21:49,"['BRASWI', 'WorldCup']",en,"Durban , Scottburgh",ZAF,-1,"what wrong with Neymar ?

#BRASWI #WorldCup"
7768,2018-06-17 19:21:49,[],en,"Hull, England",GBR,1,"RT @TheSportsman: 😡 Miranda does not look happy with that push in the back from Zuber to concede a goal...

Where's VAR when you need him?…"
7769,2018-06-17 19:21:50,[],en,İstanbul,,0,"RT @OptaJean: 10 - The last 12 shots on target faced by Brazil 🇧🇷 in the World Cup:

⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️

Goalkeeper ? #BRA…"
7770,2018-06-17 19:21:53,['BRASWI'],en,@FootyMatters,,1,Getting tons of 'Congrats' msgs for that Zuber goal! And trending in good company... #BRASWI https://t.co/Bl2vfddtw2
7771,2018-06-17 19:21:54,['braswi'],en,French Guiana,GUF,-1,"if they lose this, it's because Neymar is too busy doing crap stuff #braswi"
7772,2018-06-17 19:21:56,[],en,,,0,"RT @OptaJean: 10 - The last 12 shots on target faced by Brazil 🇧🇷 in the World Cup:

⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️

Goalkeeper ? #BRA…"
7773,2018-06-17 19:21:57,"['worldcup', 'BRASWI']",en,,,1,"Brazil going to great lengths to avoid Germany in the second round. 

#worldcup #BRASWI"
7774,2018-06-17 19:21:58,['BRASWI'],fr,Shanghai,CHN,-1,Je trouve que le commentateur dit vraiment que de la merde sur le Brésil sur bein #BRASWI
