Pays1,Pays2,Pays3,Pays4,Pays5,Percentage1,Percentage2,Percentage3,Percentage4,Percentage5,Player1,Player2,Player3,Player4,Player5,Time
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:31:59.127507
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:32:59.195762
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:33:59.282234
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:34:59.311893
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:35:59.394167
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:36:59.442662
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:37:59.525165
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:38:59.552133
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:39:59.607444
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:40:59.670525
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:41:59.756367
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:42:59.836320
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:43:59.903622
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:44:59.985302
Argentina,France,France,France,France,80.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:46:00.051070
Argentina,France,France,France,France,79.0,4.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:47:00.101307
Argentina,France,France,France,France,79.0,4.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:48:00.187757
Argentina,France,France,France,France,78.0,4.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:49:00.270488
Argentina,France,France,France,France,78.0,5.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:50:00.312664
Argentina,France,France,France,France,77.0,5.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:51:00.375663
Argentina,France,France,France,France,77.0,5.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:52:00.461058
Argentina,France,France,France,France,76.0,5.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:53:00.547181
Argentina,France,France,France,France,76.0,5.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:54:00.589364
Argentina,France,France,France,France,75.0,6.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:55:00.659027
Argentina,France,France,France,France,75.0,6.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:56:00.738797
Argentina,France,France,France,France,75.0,6.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:57:00.802730
Argentina,France,France,France,France,74.0,6.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:58:00.879444
Argentina,France,France,France,France,74.0,6.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:59:00.915378
Argentina,France,France,France,France,74.0,7.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:00:00.998594
Argentina,France,France,France,France,73.0,7.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:01:01.082550
Argentina,France,France,France,France,73.0,7.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:02:01.163206
Argentina,France,France,France,France,73.0,7.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:03:01.249205
Argentina,France,France,France,France,72.0,7.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 14:04:01.326800
